Tekma,Team,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0,9,36-99,20-50,15-19,12,39,51,22,8,3,17,23,107
0,29,42-96,5-31,20-33,15,49,64,19,11,1,17,18,109
1,28,38-76,17-36,20-26,10,32,42,22,2,3,12,21,113
1,3,37-84,11-40,18-24,13,26,39,22,7,7,5,21,103
2,24,43-91,19-40,18-19,10,29,39,29,3,2,6,14,123
2,22,47-93,11-36,4-8,11,37,48,22,3,7,8,18,109
3,11,49-88,8-20,12-15,7,34,41,26,4,4,15,24,118
3,12,46-93,10-32,23-33,13,27,40,27,10,5,11,18,125
4,15,42-90,12-34,11-12,7,35,42,17,6,7,6,13,107
4,7,42-94,10-30,11-15,13,36,49,21,3,4,11,16,105
5,4,33-76,7-26,17-28,10,23,33,19,10,5,14,18,90
5,27,40-86,9-28,10-12,16,31,47,24,7,4,14,20,99
6,18,45-100,7-20,15-21,16,26,42,18,12,5,9,23,112
6,23,34-81,12-47,29-33,12,38,50,20,3,11,14,21,109
7,18,46-85,8-23,29-38,9,24,33,20,6,4,11,25,129
7,23,49-90,19-39,24-31,12,30,42,28,2,4,12,25,141
8,4,36-80,10-33,27-31,8,31,39,24,9,6,7,23,109
8,27,33-71,8-26,28-30,4,27,31,21,4,3,13,23,102
9,27,35-82,11-29,14-18,8,27,35,24,8,6,17,24,95
9,4,38-86,7-28,26-30,15,36,51,19,10,4,20,19,109
10,27,37-85,10-35,16-21,9,40,49,24,12,4,10,20,100
10,4,32-81,13-40,15-21,9,41,50,19,3,5,15,18,92
11,24,35-73,16-33,23-28,10,30,40,15,3,7,21,27,109
11,22,46-86,12-28,24-30,10,25,35,29,12,3,12,25,128
12,22,39-84,20-38,22-27,12,33,45,24,4,4,13,18,120
12,24,45-100,14-45,11-13,14,31,45,20,6,4,7,24,115
13,22,32-94,13-44,18-22,14,33,47,20,5,5,7,18,95
13,24,42-84,12-33,19-25,4,40,44,24,6,7,6,21,115
14,28,48-82,18-34,13-24,4,30,34,25,8,4,11,19,127
14,3,45-84,13-33,18-20,9,30,39,23,7,3,13,22,121
15,3,44-76,13-31,17-18,7,32,39,24,4,4,9,21,118
15,28,38-86,20-39,12-18,13,20,33,17,4,2,8,17,108
16,3,37-77,13-33,19-25,9,44,53,16,7,6,11,25,106
16,28,31-89,5-30,14-22,10,31,41,15,3,1,8,20,81
17,11,37-92,2-22,19-30,13,27,40,22,3,2,13,21,95
17,12,49-88,9-21,13-19,8,37,45,26,10,14,11,21,120
18,30,39-92,12-34,18-23,15,28,43,23,10,4,15,20,108
18,2,46-88,17-38,21-22,12,34,46,31,7,7,14,23,130
19,2,38-84,16-38,27-31,10,27,37,16,8,3,9,23,119
19,30,45-89,16-39,19-23,13,33,46,21,5,3,13,25,125
20,2,48-83,16-27,29-30,9,27,36,29,8,9,9,28,141
20,30,37-84,14-40,38-42,11,23,34,24,8,4,10,21,126
21,9,33-82,8-28,24-35,9,27,36,20,6,2,11,13,98
21,29,46-94,22-53,18-20,21,40,61,34,8,5,15,25,132
22,29,43-89,13-36,14-18,10,45,55,25,6,2,15,19,113
22,9,32-85,9-32,11-13,7,35,42,19,9,6,15,26,84
23,29,46-99,13-42,15-18,15,41,56,29,5,4,11,18,120
23,9,40-91,11-33,12-14,8,32,40,25,6,3,12,20,103
24,15,31-84,12-44,18-22,6,35,41,17,5,12,13,21,92
24,7,36-94,12-33,17-23,13,41,54,15,8,2,10,20,101
25,7,29-81,9-30,27-30,13,32,45,14,6,2,11,21,94
25,15,42-81,16-27,5-8,4,38,42,28,2,5,11,23,105
26,7,34-81,9-29,19-23,6,33,39,24,7,2,9,20,96
26,15,36-82,15-39,26-28,9,39,48,24,4,2,10,22,113
27,15,37-87,9-34,20-26,14,34,48,17,7,8,11,16,103
27,7,31-82,12-30,15-18,14,31,45,19,5,4,16,22,89
28,30,40-92,11-40,18-23,13,31,44,18,3,12,11,21,109
28,2,43-84,15-32,22-25,7,32,39,26,6,7,8,21,123
29,12,51-87,17-33,13-20,7,44,51,31,7,5,15,25,132
29,11,38-96,8-35,19-25,13,28,41,18,5,3,8,18,103
30,12,40-96,12-38,22-34,12,36,48,21,7,6,11,30,114
30,11,40-88,9-24,33-42,13,44,57,24,8,12,13,27,122
31,11,39-79,8-20,26-33,7,31,38,22,4,3,15,30,112
31,12,43-84,9-27,34-43,8,32,40,28,9,6,8,25,129
32,28,37-89,14-36,17-19,11,34,45,21,9,2,8,23,105
32,3,33-80,14-38,20-25,10,37,47,25,5,10,12,20,100
33,3,36-77,10-34,22-28,6,36,42,18,7,3,13,14,104
33,28,37-89,11-34,12-14,8,34,42,23,9,2,11,21,97
34,28,45-91,10-36,11-17,16,31,47,22,4,1,14,21,111
34,3,41-82,20-43,24-24,8,27,35,30,11,2,8,21,126
35,24,47-103,21-48,25-29,10,35,45,25,6,6,14,31,140
35,22,50-104,20-44,27-32,13,39,52,33,5,5,11,24,147
36,22,44-86,15-34,23-27,10,29,39,28,8,3,12,18,126
36,24,40-79,15-36,20-22,8,29,37,24,7,7,16,22,115
37,4,29-84,12-35,15-21,10,41,51,14,3,1,16,25,85
37,27,43-94,14-42,15-21,3,44,47,29,7,4,4,22,115
38,27,37-73,18-35,21-22,8,34,42,24,5,9,12,17,113
38,4,38-91,10-35,14-16,11,24,35,21,5,3,7,20,100
39,23,40-81,19-43,22-27,7,36,43,17,4,7,13,18,121
39,18,43-100,13-41,12-14,16,34,50,23,7,1,9,22,111
40,23,39-85,17-34,25-28,7,35,42,23,7,4,11,16,120
40,18,43-92,10-35,17-20,7,35,42,26,8,4,9,21,113
41,18,44-95,14-39,8-9,8,31,39,23,7,6,14,12,110
41,23,49-95,17-44,11-12,11,40,51,27,10,5,14,16,126
42,29,45-101,6-30,11-19,15,43,58,21,4,3,14,15,107
42,2,46-98,15-39,8-9,6,41,47,25,7,6,8,21,115
43,29,37-84,8-27,4-9,11,33,44,14,2,3,16,12,86
43,2,49-94,21-42,6-7,9,33,42,27,8,3,8,17,125
44,22,43-92,14-40,5-6,11,30,41,26,10,4,11,17,105
44,27,46-85,13-34,17-20,7,37,44,30,8,4,10,12,122
45,15,44-86,20-47,20-21,3,32,35,23,10,3,15,26,128
45,12,45-82,10-29,24-35,8,33,41,25,12,5,19,22,124
46,15,38-83,11-30,15-18,12,33,45,20,2,5,17,21,102
46,12,46-87,12-26,14-22,6,31,37,29,10,8,7,18,118
47,12,46-79,10-21,25-39,10,26,36,28,8,4,10,26,127
47,15,39-82,6-23,27-32,11,25,36,15,6,1,11,28,111
48,12,37-85,11-27,15-21,8,47,55,23,2,6,12,18,100
48,15,37-101,12-40,17-21,12,37,49,24,5,4,4,18,103
49,15,39-85,9-26,22-28,10,30,40,14,10,4,11,28,109
49,12,35-75,13-30,23-38,7,37,44,20,7,6,15,21,106
50,12,38-93,12-29,16-23,14,37,51,15,7,5,11,24,104
50,15,38-92,10-31,13-24,8,39,47,19,6,3,12,22,99
51,15,36-81,7-27,24-32,6,38,44,22,9,1,10,23,103
51,12,34-80,9-28,19-25,7,41,48,26,7,4,17,28,96
52,2,34-94,8-32,7-8,7,43,50,15,8,5,7,22,83
52,29,34-90,6-31,12-19,7,49,56,12,3,8,10,12,86
53,2,36-83,10-33,14-18,3,40,43,20,7,3,17,20,96
53,29,39-88,16-47,13-20,4,38,42,27,10,7,12,22,107
54,29,41-83,13-32,13-17,4,31,35,18,6,5,12,24,108
54,2,38-77,16-43,22-25,2,34,36,27,4,4,9,19,114
55,2,36-81,9-30,8-14,9,30,39,14,11,1,16,18,89
55,29,37-82,7-33,23-28,15,36,51,14,12,6,13,13,104
56,29,43-98,15-36,14-21,18,30,48,20,9,7,7,20,115
56,2,39-84,12-39,21-25,11,35,46,23,4,3,13,20,111
57,22,36-90,14-43,12-20,11,35,46,24,4,6,11,21,98
57,27,45-94,18-38,15-17,8,44,52,27,3,4,7,18,123
58,27,43-81,12-26,18-20,4,34,38,26,10,2,12,13,116
58,22,39-95,14-41,10-16,18,28,46,21,4,3,14,21,102
59,27,44-85,8-22,29-31,7,41,48,18,6,6,14,21,125
59,22,45-98,14-37,14-21,7,30,37,22,6,3,8,24,118
60,3,36-85,16-42,21-24,9,33,42,22,3,6,8,24,109
60,23,37-91,17-50,21-26,12,34,46,18,5,6,7,24,112
61,3,40-85,11-30,20-23,7,30,37,19,6,3,11,25,111
61,23,42-76,20-39,13-21,2,34,36,15,4,3,14,23,117
62,23,36-84,19-44,15-17,9,29,38,15,7,1,13,22,106
62,3,50-89,19-36,13-16,10,31,41,21,6,2,9,18,132
63,23,33-77,17-42,21-26,8,31,39,19,4,3,11,32,104
63,3,36-77,15-37,31-38,10,34,44,19,8,7,10,24,118
64,3,41-80,16-40,21-25,8,31,39,17,11,3,10,22,119
64,23,36-80,20-54,19-27,7,29,36,15,7,1,13,21,111
65,23,42-86,21-44,14-19,16,27,43,19,4,0,15,19,119
65,3,48-85,20-39,15-17,10,23,33,27,13,6,6,16,131
66,3,40-88,20-47,14-17,10,29,39,23,6,3,9,17,114
66,27,49-89,13-32,9-9,7,36,43,31,5,3,7,16,120
67,3,36-80,13-34,18-24,7,32,39,18,3,4,8,19,103
67,27,41-82,6-26,16-18,7,32,39,24,5,3,9,20,104
68,27,35-90,10-32,12-13,11,32,43,24,5,3,10,19,92
68,3,37-82,12-34,20-24,10,41,51,20,8,5,11,15,106
69,27,31-86,4-20,18-21,17,42,59,16,4,8,14,27,84
69,3,27-83,5-31,21-32,15,36,51,13,4,2,10,19,80
70,3,46-84,10-30,14-15,2,38,40,20,8,2,9,16,116
70,27,38-84,9-26,17-20,7,34,41,22,6,1,14,19,102
71,27,53-94,17-31,7-11,10,37,47,27,5,4,9,21,130
71,3,33-79,12-39,25-32,7,25,32,18,5,3,8,11,103
72,15,47-95,8-32,14-16,12,39,51,19,5,2,11,17,116
72,29,47-102,8-36,11-14,12,33,45,27,6,4,8,14,113
73,15,34-82,9-36,14-17,7,27,34,13,8,4,19,22,91
73,29,50-96,15-41,10-16,16,31,47,29,14,3,15,20,125
74,29,45-88,11-29,12-21,15,35,50,27,8,5,11,18,113
74,15,39-84,15-37,9-16,9,26,35,20,8,7,12,22,102
75,29,33-84,8-39,14-19,12,31,43,19,6,3,15,18,88
75,15,43-85,13-38,11-13,8,35,43,26,11,4,11,22,110
76,15,41-90,15-38,15-19,13,27,40,24,6,5,14,22,112
76,29,48-95,9-29,18-25,14,33,47,28,11,5,8,17,123
77,29,41-89,17-45,19-21,12,34,46,24,11,5,14,23,118
77,15,38-92,12-32,19-23,13,30,43,22,11,2,16,16,107
82,29,40-88,16-36,9-16,9,38,47,21,4,2,13,18,105
82,27,41-88,11-34,25-26,6,37,43,18,9,1,9,14,118
83,29,42-93,9-31,15-23,18,28,46,21,8,7,9,17,108
83,27,43-88,20-40,12-14,11,32,43,26,7,2,12,19,118
84,27,40-83,9-31,11-16,6,30,36,21,3,3,14,24,100
84,29,43-90,14-36,20-26,13,34,47,28,8,2,9,18,120
85,27,40-78,7-23,16-19,5,35,40,18,3,9,17,24,103
85,29,39-97,7-29,24-29,17,31,48,22,11,3,5,18,109
86,29,50-87,14-28,9-17,11,26,37,26,7,1,11,17,123
86,27,48-87,13-19,10-11,8,27,35,23,9,5,8,20,119
87,27,38-86,6-25,16-19,6,31,37,14,11,4,14,21,98
87,29,37-82,6-27,25-29,11,42,53,20,10,6,18,17,105
