Tekma,Team,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0,1,37-99,10-33,15-23,13,34,47,26,6,6,18,24,99
0,2,42-92,15-35,26-32,13,44,57,24,11,7,20,22,125
1,3,44-93,14-40,14-19,11,29,40,22,10,3,16,29,116
1,4,38-81,9-29,24-31,8,37,45,22,4,2,19,20,109
2,5,45-90,16-44,8-15,8,24,32,29,10,4,15,17,114
2,6,46-87,14-30,15-20,10,40,50,34,12,3,18,22,121
3,7,39-85,12-28,17-23,5,35,40,25,8,8,16,27,107
3,8,46-94,8-34,21-29,10,40,50,28,6,9,13,24,121
4,9,42-83,7-20,16-19,7,36,43,25,11,2,22,21,107
4,10,42-88,10-28,19-30,11,30,41,23,15,3,17,19,113
5,11,39-85,13-27,16-23,5,35,40,28,7,4,19,26,107
5,12,41-87,8-28,23-30,10,37,47,22,11,8,16,25,113
6,13,42-80,19-42,10-20,8,37,45,30,13,7,24,17,113
6,14,38-89,14-46,9-12,7,28,35,26,10,5,20,22,99
7,15,43-80,14-35,24-29,8,38,46,24,6,3,21,29,124
7,16,36-87,8-35,24-28,8,29,37,20,10,3,15,22,104
9,17,48-95,10-25,25-29,8,40,48,28,8,8,10,18,131
9,18,49-95,10-27,11-18,5,37,42,27,6,8,11,20,119
10,19,45-93,8-35,3-8,7,37,44,29,5,2,12,20,101
10,20,38-88,11-41,24-28,12,36,48,25,6,5,11,16,111
11,21,45-102,10-31,24-31,18,36,54,27,5,7,14,29,124
11,22,47-98,8-29,20-24,10,36,46,28,6,11,15,25,122
12,23,43-94,19-50,15-19,12,47,59,24,3,3,11,16,120
12,24,37-92,12-33,14-17,6,34,40,23,6,3,6,18,100
13,15,38-89,13-36,33-38,13,41,54,23,4,5,15,20,122
13,18,37-93,13-43,25-29,9,37,46,20,5,6,10,27,112
14,25,40-88,10-36,19-24,9,45,54,25,10,7,16,21,109
14,5,37-93,13-32,20-32,13,34,47,27,11,8,13,22,107
15,6,48-99,13-30,19-30,7,44,51,29,13,4,18,24,128
15,19,40-98,16-45,23-32,10,47,57,24,9,5,22,20,119
16,10,48-95,11-31,23-29,11,43,54,25,8,0,13,21,130
16,11,46-95,13-37,15-28,7,36,43,28,5,3,14,25,120
17,12,41-88,11-31,16-22,12,35,47,20,9,6,12,19,109
17,7,32-83,8-29,17-23,13,30,43,19,6,4,16,23,89
18,8,52-93,9-26,12-19,9,40,49,34,15,4,16,26,125
18,16,34-91,16-39,22-25,13,28,41,23,7,7,20,16,106
19,14,44-96,15-41,11-15,10,36,46,32,8,9,11,23,114
19,17,47-100,14-34,11-16,14,39,53,36,4,3,16,20,119
20,20,45-101,13-29,13-18,12,28,40,21,9,5,9,28,116
20,23,36-94,10-34,29-37,19,38,57,15,5,4,18,20,111
21,26,45-87,11-35,25-32,10,32,42,27,5,5,16,22,126
21,24,47-102,19-45,15-23,11,34,45,27,10,5,13,20,128
22,27,41-98,11-44,10-13,10,30,40,25,8,5,11,23,103
22,21,39-86,5-23,23-33,15,41,56,20,4,9,18,22,106
23,28,43-87,14-41,24-27,11,43,54,25,10,2,6,14,124
23,3,26-76,4-33,17-20,5,31,36,13,2,2,12,19,73
24,2,35-82,17-47,17-25,6,40,46,23,4,5,19,17,104
24,5,43-96,10-34,10-17,13,39,52,35,8,3,12,25,106
25,10,37-85,9-25,37-38,11,34,45,19,6,3,10,14,120
25,11,47-97,8-32,11-13,13,34,47,27,6,4,13,26,113
26,17,38-89,11-36,8-8,4,43,47,26,5,10,15,23,95
26,13,36-94,5-24,21-29,13,43,56,15,11,4,8,16,98
27,12,33-79,12-37,16-22,8,31,39,24,9,5,21,19,94
27,6,48-91,9-23,13-16,11,34,45,31,13,6,16,22,118
28,29,41-95,7-38,21-29,17,27,44,24,7,5,11,21,110
28,7,46-85,16-27,22-27,8,38,46,27,5,4,15,23,130
29,30,40-79,9-23,18-24,6,34,40,21,13,7,18,17,107
29,8,45-88,7-26,11-15,8,29,37,23,11,7,16,20,108
30,1,42-104,18-47,27-30,10,31,41,25,17,4,12,23,129
30,16,44-86,17-41,23-31,7,47,54,27,4,6,24,21,128
31,27,46-94,14-35,10-11,8,36,44,34,6,3,9,20,116
31,21,36-76,10-23,18-25,3,36,39,21,5,4,15,23,100
32,20,38-103,6-35,9-14,17,31,48,24,11,6,17,24,91
32,4,50-90,13-35,14-18,5,41,46,32,6,14,17,19,127
33,19,43-98,13-41,21-24,17,31,48,24,7,4,8,25,120
33,15,40-82,20-42,28-32,8,37,45,30,5,7,13,22,128
34,18,42-98,10-29,22-29,16,40,56,20,10,4,19,17,116
34,2,41-100,14-42,15-17,13,37,50,28,13,6,17,20,111
35,23,43-86,13-36,11-14,8,35,43,24,9,6,16,19,110
35,25,40-86,15-38,14-19,7,30,37,21,9,5,15,16,109
36,26,39-86,16-39,17-23,5,33,38,25,8,3,15,25,111
36,22,46-87,14-31,18-32,11,41,52,31,8,7,14,18,124
37,24,43-92,16-46,13-15,7,38,45,27,9,6,9,16,115
37,4,41-87,10-27,15-18,6,35,41,20,6,5,14,14,107
38,7,34-79,14-25,13-21,14,41,55,23,9,6,25,21,95
38,6,32-88,7-32,15-22,14,29,43,22,13,10,13,17,86
39,1,38-76,14-33,26-36,4,36,40,21,8,8,19,28,116
39,19,35-92,13-35,23-29,16,29,45,21,8,6,15,26,106
40,30,40-80,9-22,27-37,12,31,43,21,10,3,14,16,116
40,8,43-84,12-33,13-16,4,32,36,27,9,5,14,25,111
41,14,32-90,17-45,12-14,10,37,47,21,12,7,19,28,93
41,12,32-84,8-31,28-33,9,45,54,21,10,10,18,15,100
42,16,38-87,15-36,24-32,5,32,37,26,7,1,14,23,115
42,11,37-84,10-37,23-26,8,39,47,25,6,6,19,28,107
43,29,51-92,29-51,13-15,10,35,45,32,14,2,17,22,144
43,9,37-79,11-37,12-18,3,27,30,23,9,6,21,18,97
44,10,49-96,7-22,13-16,12,34,46,26,12,2,11,23,118
44,25,43-87,11-34,10-19,10,37,47,20,3,7,20,18,107
45,13,37-77,3-24,9-18,7,34,41,18,8,3,16,14,86
45,27,37-84,19-47,18-19,12,31,43,24,7,4,10,18,111
46,20,37-89,13-38,14-17,11,28,39,22,7,6,14,15,101
46,3,47-88,16-31,14-16,7,39,46,32,6,10,13,21,124
47,22,44-81,11-28,16-20,7,32,39,27,7,5,19,18,115
47,21,46-94,16-33,17-22,12,25,37,33,9,2,10,18,125
48,18,40-93,9-33,18-25,14,32,46,26,8,3,22,13,107
48,30,49-91,16-39,12-14,10,32,42,27,17,11,16,21,126
49,15,47-99,18-46,29-35,17,37,54,27,5,2,12,19,141
49,2,54-100,19-41,18-23,9,31,40,30,6,3,8,24,145
50,29,40-102,16-41,12-13,16,31,47,26,14,6,13,25,108
50,9,40-82,15-39,24-29,10,42,52,25,5,5,22,18,119
51,5,43-84,15-34,17-21,12,38,50,30,6,6,23,28,118
51,28,34-87,12-42,19-33,13,26,39,24,10,6,14,16,99
52,4,46-82,14-26,15-20,7,40,47,25,4,3,17,24,121
52,17,40-87,10-24,17-23,7,32,39,25,8,4,10,18,107
53,24,32-76,12-38,29-34,5,36,41,14,5,4,17,17,105
53,3,47-95,18-38,16-22,11,36,47,30,13,6,10,25,128
54,6,37-82,12-23,13-24,11,32,43,22,5,6,18,22,99
54,8,42-87,16-35,19-24,9,35,44,28,12,1,14,22,119
55,16,50-92,14-36,19-25,9,35,44,34,9,3,15,27,133
55,11,42-84,14-29,32-41,9,28,37,27,8,4,14,27,130
56,12,44-91,15-33,13-15,7,47,54,23,7,10,14,23,116
56,10,33-95,7-28,19-21,10,38,48,17,2,5,11,15,92
57,21,45-96,11-33,18-24,14,31,45,23,11,5,15,21,119
57,26,45-86,13-36,19-25,10,35,45,26,10,6,18,14,122
58,7,32-88,3-36,16-20,9,39,48,21,6,3,15,21,83
58,14,34-83,17-52,15-21,9,44,53,21,7,6,16,22,100
59,13,44-91,13-36,12-19,14,44,58,23,9,4,13,16,113
59,25,30-80,15-48,5-15,7,33,40,24,6,3,19,20,80
60,27,41-84,17-33,7-10,5,36,41,26,5,6,15,17,106
60,23,35-84,12-34,13-19,10,36,46,16,8,3,13,15,95
61,18,43-90,14-39,8-10,10,38,48,34,10,6,15,18,108
61,5,35-86,9-31,14-21,10,32,42,23,9,4,18,15,93
62,30,39-83,8-31,7-14,7,37,44,20,12,11,19,20,93
62,19,36-88,11-34,13-20,12,36,48,18,9,2,19,16,96
63,9,29-78,7-33,18-25,5,36,41,20,10,2,14,24,83
63,28,32-78,12-37,17-23,4,45,49,18,9,3,16,25,93
64,15,43-93,16-39,12-14,10,38,48,24,8,3,9,20,114
64,2,35-86,7-37,19-23,10,35,45,19,6,6,15,16,96
65,16,38-87,6-26,14-20,6,36,42,18,10,6,20,21,96
65,29,42-85,22-45,20-30,5,39,44,27,16,6,17,19,126
66,11,49-89,16-33,16-21,8,35,43,35,9,3,16,19,130
66,20,42-88,13-36,12-21,11,32,43,17,9,3,20,22,109
67,4,41-101,14-33,13-16,16,42,58,27,8,7,13,20,109
67,17,36-85,13-34,18-26,8,37,45,23,3,8,13,20,103
68,27,37-76,13-35,19-21,8,29,37,24,1,4,17,20,106
68,22,39-86,12-29,13-16,8,30,38,28,7,1,11,25,103
69,3,33-85,13-33,21-24,12,31,43,19,6,8,8,16,100
69,23,41-89,15-42,9-14,13,33,46,28,3,3,13,20,106
70,24,40-92,20-43,23-30,8,43,51,23,11,3,10,27,123
70,1,31-79,7-35,29-33,3,41,44,19,4,9,15,28,98
71,21,35-90,9-28,15-21,14,33,47,11,5,4,14,21,94
71,26,36-81,13-41,17-23,6,42,48,15,10,10,13,22,102
72,7,42-83,12-27,10-13,10,41,51,23,4,3,15,16,106
72,8,34-84,19-50,15-18,5,27,32,22,6,4,8,21,102
73,25,38-86,13-41,19-21,6,46,52,22,5,5,10,17,108
73,10,40-108,10-38,9-12,15,40,55,21,7,1,6,18,99
74,5,38-92,13-35,23-26,14,26,40,34,15,5,12,18,112
74,12,47-79,16-35,17-24,7,38,45,35,10,7,21,17,127
75,6,38-91,7-29,13-17,15,31,46,19,10,2,15,21,96
75,15,35-85,11-32,10-19,15,33,48,22,9,5,20,20,91
76,14,38-91,14-48,26-27,10,30,40,21,6,4,9,29,116
76,13,35-83,14-38,36-47,14,36,50,26,6,7,12,18,120
77,30,49-87,15-33,9-13,12,29,41,35,4,5,17,22,122
77,19,41-86,16-36,22-25,8,25,33,29,8,7,9,16,120
78,11,43-104,12-33,25-34,13,36,49,27,9,3,7,22,123
78,2,40-81,14-32,28-31,7,44,51,25,5,9,20,24,122
79,4,41-89,12-35,14-19,12,37,49,24,9,5,10,15,108
79,18,39-95,9-33,7-8,14,36,50,23,6,3,11,18,94
80,22,45-92,19-45,15-21,13,30,43,34,6,4,15,11,124
80,20,44-85,10-31,11-16,9,27,36,30,11,6,14,17,109
81,23,49-89,21-41,11-19,9,48,57,29,4,11,19,18,130
81,17,44-105,6-19,15-21,14,31,45,23,13,4,7,16,109
82,28,39-89,11-42,19-27,11,30,41,23,6,4,15,27,108
82,16,39-85,13-37,27-30,11,37,48,16,11,2,16,24,118
83,3,40-83,17-29,15-19,8,29,37,24,5,2,10,22,112
83,27,37-75,10-33,23-28,7,33,40,23,4,3,13,22,107
84,24,41-98,14-43,26-33,12,28,40,16,7,2,12,27,122
84,1,49-88,13-34,26-34,11,42,53,23,4,7,15,24,137
85,6,33-85,10-28,7-12,9,26,35,20,12,4,14,14,83
85,10,38-88,15-34,12-13,18,36,54,22,9,7,19,15,103
86,5,36-86,13-39,16-22,8,39,47,30,4,4,16,24,101
86,12,46-95,11-32,15-23,14,41,55,34,7,5,10,21,118
87,7,43-85,7-21,20-25,11,34,45,26,9,6,15,21,113
87,15,40-87,10-31,18-23,10,30,40,24,4,2,12,21,108
88,25,29-79,13-48,19-27,6,32,38,20,6,4,15,15,90
88,9,46-81,16-34,10-18,4,43,47,34,7,0,14,20,118
89,30,41-84,15-29,29-34,12,44,56,19,3,9,19,29,126
89,14,36-90,13-37,29-38,8,29,37,20,13,4,10,26,114
90,28,39-82,16-39,19-20,10,41,51,24,4,3,15,31,113
90,26,30-77,11-40,29-36,7,28,35,17,5,4,12,19,100
91,19,43-98,17-40,12-12,6,25,31,27,9,5,8,17,115
91,29,49-85,14-34,13-16,7,42,49,32,6,4,19,18,125
92,8,45-93,19-45,9-13,5,37,42,32,10,8,14,27,118
92,13,44-101,9-27,19-24,16,41,57,26,5,4,18,20,116
93,21,34-90,10-35,28-39,11,41,52,20,5,6,14,20,106
93,1,51-97,23-43,12-14,3,45,48,41,4,6,11,28,137
94,23,33-86,11-34,19-27,9,32,41,17,6,3,15,18,96
94,2,52-93,14-36,12-16,8,43,51,31,11,5,12,22,130
95,4,38-87,9-31,9-11,9,43,52,24,7,8,17,14,94
95,18,36-87,10-26,10-13,5,33,38,24,14,4,13,14,92
96,20,42-91,11-34,21-27,10,32,42,24,8,4,14,31,116
96,22,41-79,8-25,33-45,10,32,42,22,9,2,14,27,123
97,17,44-96,20-40,8-11,11,33,44,23,9,3,10,13,116
97,3,43-86,15-35,12-13,7,38,45,29,6,7,13,16,113
98,16,40-91,16-41,15-18,11,41,52,27,5,5,15,19,111
98,24,39-94,19-51,11-17,10,36,46,23,8,3,11,16,108
99,26,39-81,8-30,21-26,5,34,39,19,7,12,16,22,107
99,8,42-89,9-23,21-26,7,31,38,21,10,9,9,21,114
